timestamp,A_x,A_y,A_z,P,Q,R,Phi,Theta,Psi,poseX,poseY,poseZ,state_X,state_Y,state_Z,state_VzB,state_Bx,state_By,state_Bz,p1_x,p1_y,p2_x,p2_y,p3_x,p3_y,p4_x,p4_y,roll,pitch,yaw,alt,targetHeading,highLevelState,lowLevelState,gateNumber,filtered_x,filtered_y,x_OT,y_OT,vx_OT,vy_OT,filtered_vx,filtered_vygateArea
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0.00779127,-1.5,0,0,0,3,0,0,0,0,0,0,0,0,1.9603e-19
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,0.00752934,-1.5,0,0,0,3,0,0,0,0,0,0,0,0,1.9603e-19
30,-3.72295e-12,7.38527e-38,-1.58345e-06,-3.85292e-12,7.38479e-38,-3.40903e-12,-1.13703e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,-0.00157083,-1.5,0,0,0,3,0,0,0,0,0,0,0,0,1.9603e-19
40,-3.72295e-12,7.38527e-38,-1.58345e-06,-3.85292e-12,7.38479e-38,0,-1.13703e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,-0.00151803,-1.5,0,0,0,3,0,0,0,0,0,0,0,0,1.9603e-19
50,-3.72295e-12,7.38527e-38,-1.58345e-06,-3.85292e-12,7.38479e-38,-3.40903e-12,-1.13704e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,-0.00146699,-1.5,0,0,0,3,0,0,0,0,0,0,0,0,1.9603e-19
60,-3.72295e-12,7.38527e-38,-1.58345e-06,-3.85292e-12,7.38479e-38,0,-1.13704e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,-0.00140618,-1.5,0,0,0,3,0,0,0,0,0,0,0,0,1.9603e-19
70,-3.72295e-12,7.38527e-38,-1.58345e-06,-3.85292e-12,7.38479e-38,-3.40903e-12,-1.13705e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,-0.00136168,-1.5,0,0,0,3,0,0,0,0,0,0,0,0,1.9603e-19
80,-3.72295e-12,7.38527e-38,-1.58345e-06,-3.85292e-12,7.38479e-38,0,-1.13705e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,-0.00131593,-1.5,0,0,0,3,0,0,0,0,0,0,0,0,1.9603e-19
90,-3.72295e-12,7.38527e-38,-1.58345e-06,-3.85292e-12,7.38479e-38,-3.40903e-12,-1.13706e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,-0.0012717,-1.5,0,0,0,3,0,0,0,0,0,0,0,0,1.9603e-19
100,-3.72295e-12,7.38527e-38,-1.58345e-06,-3.85292e-12,7.38479e-38,0,-1.13706e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.261799,-0.00122894,-1.5,0,0,0,3,0,0,0,0,0,0,0,0,1.9603e-19
